Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Seis Sigma: Black Belt,"Demonstre seu domínio dos princípios, filosofias e ferramentas relacionadas ao Seis Sigma, tornando-se um Black Belt em Seis Sigma certificado. Os Black Belts atuam sob supervisão dos Master Black Belts, aplicando a metodologia Seis Sigma a projetos específicos e dedicando a ela todo o seu valioso tempo. Neste curso, o especialista em excelência operacional, instrutor Master Black Belt e professor universitário Dr. Richard Chua explica como usar o Seis Sigma e suas ferramentas estatísticas e de qualidade, preparando você para se tornar um Black Belt.",Course,2019-10-10 15:47 UTC,N/A,false,N/A,
Outlook 2013: Formação Básica,"Neste curso, você aprenderá a navegar pelas suas mensagens de e-mail, calendário e contatos no Outlook 2013. O curso começa com um tour da interface e mostra como se conectar a uma grande variedade de e-mails e contas de cloud, incluindo contas IMAP e POP, iCloud e Onedrive, e até mesmo RSS feeds. Você também verá como ler e organizar e-mail, compor novos e-mails, trabalhar com anexos e lidar com lixo eletrônico. O curso também abrange a criação de novos contatos e o uso do calendário.",Course,2019-11-18 01:21 UTC,N/A,false,N/A,
Big Data e Inteligência Artificial: O Poder dos Dados,"Talvez a empolgação com o Big Data tenha chegado ao auge vários anos atrás, mas ele está longe do fim. Na verdade, o Big Data é a base de algumas das tecnologias mais entusiasmantes de hoje. A inteligência artificial (IA), o aprendizado de máquina e a ciência de dados dependem do Big Data – dados que, em virtude de sua velocidade, volume ou variedade, não podem ser facilmente armazenados ou analisados por métodos tradicionais. Neste curso, Barton Poulson explica como o Big Data funciona e molda nosso universo de dados moderno. Barton analisa a relação entre Big Data e IA, ciência de dados, redes sociais e internet das coisas (IoT), levantando as questões éticas por trás do uso do Big Data. Além disso, aborda técnicas de análise de Big Data, inclusive mineração de dados e análise preditiva.",Course,2023-10-31 23:57 UTC,N/A,false,N/A,
Excel: Como Criar um Dashboard Básico (365/2019),"O curso Excel: Como Criar um Dashboard Básico aplicará os principais conhecimentos no Excel em suas fórmulas, funções, gráficos, tabelas e formatações para criação de um painel, também conhecido como ""Dashboard"", que põe em evidência dados com o objetivo de facilitar sua interpretação e consequente tomada de decisão em análises que precisam ser realizadas. O conjunto de técnicas utilizadas potencializará os dados, valorizando as respostas procuradas. Uma das habilidades que desenvolveremos será a adaptação e combinação de conceitos e técnicas aprendidas isoladamente, atuando em conjunto para criação de um painel desses. 
O objetivo desse curso é desenvolvermos juntos um cenário analítico profissional e de fácil interpretação, evidenciando o que há de mais importante nos dados.",Course,2021-02-14 23:13 UTC,N/A,false,N/A,
Como Fazer Perguntas Poderosas para Vendas,"Muitas vezes, as visitas comerciais se transformam em um interrogatório, e os clientes em potencial se perguntam qual é o objetivo da conversa. Neste curso, Jeff Bloomfield, autor e coach de vendas de empresas da lista Fortune 500, oferece uma alternativa baseada no princípio de que as vendas eficazes começam com o foco nas questões mais importantes para os clientes. Jeff ajuda você a entender os problemas comerciais dos clientes e usar essas informações para orientar as perguntas de vendas. Ele explica como criar e fazer perguntas de sondagem eficazes, avaliar o impacto comercial da solução e ir além quando necessário. Ele também fornece conselhos sobre como manter o tom de voz apropriado durante toda a conversa, para uma interação de vendas mais satisfatória e um relacionamento duradouro com o cliente.",Course,2021-03-25 18:44 UTC,N/A,false,N/A,
Técnicas Avançadas de Power BI (2020),"No curso ""Power BI: Avançado"" exploraremos com mais profundidade técnicas de importação e tratamento de dados, modelagem e cálculos no DAX, criação de visuais compatíveis com seus tipos de dados e publicação e compartilhamento do seu projeto no Power BI Serviço. Exploraremos algumas funções do DAX com detalhes para responder a algumas das principais questões de negócios em organizações. A aplicação de técnicas de Business Intelligence no dia a dia de todo profissional é essencial para comparar, melhorar e ter novas ideias de caminhos e desenvolvimentos que a empresa possa seguir",Course,2023-03-18 17:49 UTC,N/A,false,N/A,
Fundamentos de Contabilidade,"A contabilidade usa informações financeiras do passado para tomar decisões no presente e mudar o futuro. Este curso oferece uma introdução aos quatro tipos básicos de contabilidade — escrituração contábil, contabilidade financeira, gerencial e tributária — e explica a relação entre contabilidade, tomada de decisão, desempenho do negócio e saúde financeira. Os professores de contabilidade Jim e Kay Stice exploram as três principais demonstrações financeiras, usando exemplos reais de empresas como o Walmart. Eles mostram como as firmas usam a contabilidade gerencial para criar orçamentos e determinar o custo dos produtos e explicam como os impostos, deduções fiscais e créditos tributários são calculados nos Estados Unidos. O curso é independente, não há pré-requisitos ou conhecimento especializado necessário para fazê-lo. No final, você entenderá melhor a contabilidade e como ela afeta os negócios e as finanças pessoais.",Course,2022-07-11 12:13 UTC,N/A,false,N/A,
Descubra o Azure DevOps,"O Azure DevOps é um pacote de serviços para ajudar os desenvolvedores a entregar produtos de alta qualidade com maior agilidade. Inclui pipelines de CI / CD (Azure Pipelines), ferramentas de relatório visual (Azure Boards) e repositórios de código (Azure Repos) para gerenciamento de código e controle de versão. Aprenda como usar esta solução para rastrear trabalho, versionar código, criar e implantar software na nuvem. Ele aborda o Azure DevOps a partir de uma perspectiva de gerenciamento de projetos que incorpora metodologias ágeis como Scrum e Kanban. Ele também mostra como personalizar o Azure DevOps para sua equipe, integrando extensões de produtividade, como Slack e Office.",Course,2022-01-28 13:01 UTC,N/A,false,N/A,
Técnicas Avançadas de Python,"Desenvolva suas habilidades de programação Python. Python é uma ótima opção para implementar vários tipos de soluções, mas para aproveitar ao máximo seu poder e flexibilidade, você precisa dominar as suas funcionalidades avançadas. Neste curso, você pode aprender como aproveitar os recursos avançados do Python como métodos de classe orientadas a objetos, usar o módulo logging para rastrear o desempenho e a atividade do usuário, e como tornar seu código mais eficiente e mais fácil de ler e manter. A instrutora Jessica Temporal também mostra como manipular dados, construir classes e funções personalizadas, criar listas e escrever um código mais elegante e otimizado.",Course,2021-07-22 16:56 UTC,N/A,false,N/A,
How Infrastructure Works: The Systems Shaping Our World,"<p>Despite it being all around us, we rarely think about infrastructure—things like water and sewage, electricity, transportation, and telecommunications—until something breaks down. In this audiobook summary, Deb Chachra—a professor of engineering at Olin College—explains why we should pay more attention to the technological networks that surround us. Deb shares some key ideas from her book <i>How Infrastructure Works: Inside the Systems That Shape Our World</i>, and discusses the importance of seeing and understanding what are possibly the most complicated systems created by humanity.  
</p><p>
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-06-18 21:23 UTC,N/A,false,N/A,
